Name,SAT,ACT(25%-75%),GPA,Acceptance Rate,Test Policy,Major Guidance,Region
Olin College of Engineering,1500-1560(25%-75%),34-35,3.9(UW),15.40%,Optional,"engineering: direct, strong",East
Stony Brook University-SUNY,1350-1470(25%-75%),30-34,3.78(UW),49%,Optional,engineering: direct; cs: selective,East
"University of Minnesota,Twin Cities",1320-1470(25%-75%),26-31,,80%,Optional,engineering: direct; business: direct (Carlson); cs: selective,Midwest
North Carolina State University,1290-1440(25%-75%),25-32,3.83(UW),39.46%,Optional,engineering: direct; cs: selective,South
"University of Massachusetts, Amherst",1330-1480(25%-75%),30-34,4.05(W),59%,Optional,cs: selective; business: direct (Isenberg),East
Binghamton University-SUNY,1320-1480(25%-75%),31-34,3.88(W),38%,Optional,"business: direct (SOM), selective",East
University at Buffalo-SUNY,610-690(English) 610-700(Math),27-31,3.66(UW),57%,Optional,Overall pool only,East
Drexel University,1260-1430(25%-75%),28-33,3.79(W),70%,Optional,Overall pool only,East
Baruch College-CUNY,550-690(English) 550-710(Math),23-29,3.66(W),48%,Optional,"business: strong, selective",East
Brigham Young University,1290-1430(25%-75%),28-32,3.89(W),68%,Optional,Overall pool only,West
The University of Utah,1120-1320(25%-75%),22-29,3.64(W),86%,Optional,Overall pool only,West
